filename,scene_label,city,device,fold,scene_label_num
audio/airport-lisbon-1114-42707-1-a.wav,airport,lisbon,a,3,0
audio/airport-lisbon-1122-40992-4-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1000-41635-4-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1122-40819-8-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1122-43567-2-a.wav,airport,lisbon,a,0,0
audio/airport-lisbon-1000-41194-6-b.wav,airport,lisbon,b,1,0
audio/airport-lisbon-1114-42155-2-c.wav,airport,lisbon,c,3,0
audio/airport-lisbon-1114-41409-1-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1000-40280-7-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1000-40242-9-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1114-43120-6-a.wav,airport,lisbon,a,1,0
audio/airport-lisbon-1122-40326-6-a.wav,airport,lisbon,a,1,0
audio/airport-lisbon-1114-41409-8-a.wav,airport,lisbon,a,1,0
audio/airport-lisbon-1000-43327-5-c.wav,airport,lisbon,c,4,0
audio/airport-lisbon-1000-41635-8-a.wav,airport,lisbon,a,1,0
audio/airport-lisbon-1114-40411-3-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1114-40796-3-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1000-40849-0-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1114-43793-8-a.wav,airport,lisbon,a,0,0
audio/airport-lisbon-1122-43880-8-a.wav,airport,lisbon,a,0,0
audio/airport-lisbon-1122-43567-5-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1114-44053-3-s3.wav,airport,lisbon,s,4,0
audio/airport-lisbon-1000-42406-5-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1000-43679-4-a.wav,airport,lisbon,a,0,0
audio/airport-lisbon-1114-41503-2-a.wav,airport,lisbon,a,0,0
audio/airport-lisbon-1122-40344-5-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1122-41837-9-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1122-41394-2-a.wav,airport,lisbon,a,3,0
audio/airport-lisbon-1122-42593-0-a.wav,airport,lisbon,a,3,0
audio/airport-lisbon-1122-40992-5-a.wav,airport,lisbon,a,3,0
audio/airport-lisbon-1000-43679-3-s1.wav,airport,lisbon,s,4,0
audio/airport-lisbon-1000-41735-0-c.wav,airport,lisbon,c,0,0
audio/airport-lisbon-1000-43679-8-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1000-41706-0-a.wav,airport,lisbon,a,0,0
audio/airport-lisbon-1122-42281-6-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1000-42898-2-a.wav,airport,lisbon,a,3,0
audio/airport-lisbon-1122-43880-7-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1114-40411-0-s3.wav,airport,lisbon,s,1,0
audio/airport-lisbon-1114-41503-0-a.wav,airport,lisbon,a,4,0
audio/airport-lisbon-1114-42155-9-s3.wav,airport,lisbon,s,4,0
audio/airport-lisbon-1122-41661-1-a.wav,airport,lisbon,a,1,0
audio/airport-lisbon-1114-40411-3-s3.wav,airport,lisbon,s,3,0
audio/airport-lisbon-1114-41138-7-a.wav,airport,lisbon,a,0,0
audio/airport-lisbon-1122-42166-4-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1000-42196-4-c.wav,airport,lisbon,c,2,0
audio/airport-lisbon-1122-40992-0-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1122-40244-1-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1114-43181-7-a.wav,airport,lisbon,a,1,0
audio/airport-lisbon-1114-41467-1-a.wav,airport,lisbon,a,2,0
audio/airport-lisbon-1000-41698-6-a.wav,airport,lisbon,a,1,0
